Data;Segmento;GrupoProblema;Ocorrências
2017-10;Bancos de Dados e Cadastros de Consumidores;Informação;5879
2017-02;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Cobrança / Contestação;5836
2016-12;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Cobrança / Contestação;5825
2018-02;Bancos de Dados e Cadastros de Consumidores;Informação;5614
2018-01;Bancos de Dados e Cadastros de Consumidores;Informação;5602
2018-03;Bancos, Financeiras e Administradoras de Cartão;Cobrança / Contestação;5563
2017-01;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Cobrança / Contestação;5526
2016-11;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Cobrança / Contestação;5526
2016-10;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Cobrança / Contestação;5423
2017-05;Bancos, Financeiras e Administradoras de Cartão;Cobrança / Contestação;5420
2017-09;Bancos de Dados e Cadastros de Consumidores;Informação;5414
2017-11;Bancos de Dados e Cadastros de Consumidores;Informação;5371
2017-10;Bancos, Financeiras e Administradoras de Cartão;Cobrança / Contestação;5360
2017-08;Bancos, Financeiras e Administradoras de Cartão;Cobrança / Contestação;5348
2018-01;Bancos, Financeiras e Administradoras de Cartão;Cobrança / Contestação;5287
2015-12;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Cobrança / Contestação;5229
2018-04;Bancos de Dados e Cadastros de Consumidores;Informação;5148
2017-07;Bancos, Financeiras e Administradoras de Cartão;Cobrança / Contestação;5007
2018-02;Bancos, Financeiras e Administradoras de Cartão;Cobrança / Contestação;5001
2017-12;Bancos, Financeiras e Administradoras de Cartão;Cobrança / Contestação;4954
2015-11;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Cobrança / Contestação;4847
2017-11;Bancos, Financeiras e Administradoras de Cartão;Cobrança / Contestação;4823
2016-04;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Cobrança / Contestação;4814
2017-09;Bancos, Financeiras e Administradoras de Cartão;Cobrança / Contestação;4772
2016-03;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Cobrança / Contestação;4742
2017-03;Bancos de Dados e Cadastros de Consumidores;Informação;4713
2015-10;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Cobrança / Contestação;4553
2017-12;Bancos de Dados e Cadastros de Consumidores;Informação;4540
2017-08;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Contrato / Oferta;4350
2017-04;Bancos de Dados e Cadastros de Consumidores;Informação;4334
2018-05;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Contrato / Oferta;4291
2015-10;Bancos, Financeiras e Administradoras de Cartão;Cobrança / Contestação;4234
2018-03;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Contrato / Oferta;4230
2018-04;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Contrato / Oferta;4223
2016-02;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Cobrança / Contestação;4187
2018-06;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Contrato / Oferta;4169
2017-09;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Contrato / Oferta;4125
2017-11;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Contrato / Oferta;4107
2016-09;Bancos, Financeiras e Administradoras de Cartão;Cobrança / Contestação;4068
2015-11;Bancos, Financeiras e Administradoras de Cartão;Cobrança / Contestação;4055
2015-03;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Cobrança / Contestação;4022
2017-10;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Contrato / Oferta;3993
2016-01;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Cobrança / Contestação;3941
2018-02;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Contrato / Oferta;3857
2017-05;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Contrato / Oferta;3849
2018-01;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Contrato / Oferta;3805
2015-07;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Cobrança / Contestação;3769
2015-12;Bancos, Financeiras e Administradoras de Cartão;Cobrança / Contestação;3769
2017-12;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Contrato / Oferta;3734
2016-08;Bancos, Financeiras e Administradoras de Cartão;Cobrança / Contestação;3732
2016-05;Bancos, Financeiras e Administradoras de Cartão;Cobrança / Contestação;3721
2017-04;Bancos, Financeiras e Administradoras de Cartão;Cobrança / Contestação;3690
2017-03;Bancos, Financeiras e Administradoras de Cartão;Cobrança / Contestação;3668
2017-03;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Contrato / Oferta;3660
2015-06;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Cobrança / Contestação;3657
2015-06;Bancos, Financeiras e Administradoras de Cartão;Cobrança / Contestação;3652
2016-10;Bancos, Financeiras e Administradoras de Cartão;Cobrança / Contestação;3648
2015-04;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Cobrança / Contestação;3603
2017-06;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Contrato / Oferta;3548
2017-07;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Contrato / Oferta;3544
2016-12;Bancos, Financeiras e Administradoras de Cartão;Cobrança / Contestação;3533
2016-07;Bancos, Financeiras e Administradoras de Cartão;Cobrança / Contestação;3479
2015-09;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Cobrança / Contestação;3466
2015-08;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Cobrança / Contestação;3415
2017-01;Bancos de Dados e Cadastros de Consumidores;Informação;3414
2016-09;Bancos de Dados e Cadastros de Consumidores;Informação;3379
2016-11;Bancos, Financeiras e Administradoras de Cartão;Cobrança / Contestação;3369
2015-05;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Cobrança / Contestação;3368
2017-04;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Contrato / Oferta;3237
2017-01;Bancos, Financeiras e Administradoras de Cartão;Cobrança / Contestação;3208
2016-08;Bancos de Dados e Cadastros de Consumidores;Informação;3126
2017-02;Bancos, Financeiras e Administradoras de Cartão;Cobrança / Contestação;3082
2018-06;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Vício de Qualidade;2999
2018-01;Comércio Eletrônico;Entrega do Produto;2986
2018-04;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Vício de Qualidade;2968
2018-05;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Vício de Qualidade;2965
2018-03;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Vício de Qualidade;2940
2016-10;Bancos de Dados e Cadastros de Consumidores;Informação;2794
2016-12;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Contrato / Oferta;2785
2016-12;Bancos de Dados e Cadastros de Consumidores;Informação;2752
2018-05;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Atendimento / SAC;2751
2017-02;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Contrato / Oferta;2739
2016-11;Bancos de Dados e Cadastros de Consumidores;Informação;2724
2017-01;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Contrato / Oferta;2720
2016-06;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Contrato / Oferta;2701
2018-04;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Atendimento / SAC;2678
2016-05;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Contrato / Oferta;2674
2017-12;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Vício de Qualidade;2668
2017-08;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Vício de Qualidade;2668
2018-01;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Vício de Qualidade;2656
2016-11;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Contrato / Oferta;2641
2016-08;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Contrato / Oferta;2641
2016-04;Bancos, Financeiras e Administradoras de Cartão;Cobrança / Contestação;2636
2016-07;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Contrato / Oferta;2625
2018-03;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Atendimento / SAC;2621
2018-06;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Atendimento / SAC;2610
2018-02;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Vício de Qualidade;2572
2017-02;Bancos de Dados e Cadastros de Consumidores;Informação;2554
2016-09;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Contrato / Oferta;2547
2017-11;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Vício de Qualidade;2521
2017-09;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Vício de Qualidade;2519
2017-10;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Vício de Qualidade;2512
2017-05;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Atendimento / SAC;2511
2017-08;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Atendimento / SAC;2499
2016-10;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Contrato / Oferta;2471
2017-05;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Vício de Qualidade;2446
2017-11;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Atendimento / SAC;2430
2018-01;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Atendimento / SAC;2424
2017-03;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Atendimento / SAC;2422
2017-07;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Vício de Qualidade;2397
2015-03;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Atendimento / SAC;2355
2017-09;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Atendimento / SAC;2343
2015-03;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Contrato / Oferta;2339
2017-06;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Vício de Qualidade;2316
2018-04;Comércio Eletrônico;Entrega do Produto;2302
2016-03;Bancos, Financeiras e Administradoras de Cartão;Cobrança / Contestação;2302
2017-06;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Atendimento / SAC;2278
2017-10;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Atendimento / SAC;2273
2018-02;Comércio Eletrônico;Entrega do Produto;2257
2017-12;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Atendimento / SAC;2219
2016-02;Bancos, Financeiras e Administradoras de Cartão;Cobrança / Contestação;2212
2017-03;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Vício de Qualidade;2211
2017-07;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Atendimento / SAC;2206
2018-02;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Atendimento / SAC;2198
2015-03;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Vício de Qualidade;2193
2017-04;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Atendimento / SAC;2145
2017-04;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Vício de Qualidade;2111
2015-09;Bancos, Financeiras e Administradoras de Cartão;Cobrança / Contestação;2101
2016-03;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Contrato / Oferta;2096
2016-01;Bancos, Financeiras e Administradoras de Cartão;Cobrança / Contestação;2093
2015-02;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Cobrança / Contestação;2070
2015-12;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Contrato / Oferta;2057
2018-03;Comércio Eletrônico;Entrega do Produto;2024
2016-04;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Contrato / Oferta;2001
2016-08;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Atendimento / SAC;1986
2015-04;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Contrato / Oferta;1944
2016-06;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Atendimento / SAC;1919
2016-12;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Vício de Qualidade;1908
2016-07;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Atendimento / SAC;1883
2017-02;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Atendimento / SAC;1870
2016-05;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Atendimento / SAC;1862
2016-09;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Atendimento / SAC;1853
2017-01;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Atendimento / SAC;1852
2015-11;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Contrato / Oferta;1841
2016-12;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Atendimento / SAC;1832
2016-11;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Atendimento / SAC;1818
2015-05;Bancos, Financeiras e Administradoras de Cartão;Cobrança / Contestação;1809
2015-07;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Contrato / Oferta;1804
2016-10;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Atendimento / SAC;1802
2015-07;Bancos, Financeiras e Administradoras de Cartão;Cobrança / Contestação;1796
2015-10;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Contrato / Oferta;1794
2016-02;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Contrato / Oferta;1789
2015-04;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Vício de Qualidade;1775
2017-01;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Vício de Qualidade;1774
2015-01;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Cobrança / Contestação;1741
2016-08;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Vício de Qualidade;1735
2018-06;Bancos, Financeiras e Administradoras de Cartão;Atendimento / SAC;1719
2016-01;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Contrato / Oferta;1711
2015-04;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Atendimento / SAC;1711
2015-12;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Atendimento / SAC;1709
2018-05;Comércio Eletrônico;Entrega do Produto;1706
2017-01;Comércio Eletrônico;Entrega do Produto;1693
2016-03;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Atendimento / SAC;1690
2017-02;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Vício de Qualidade;1686
2015-05;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Contrato / Oferta;1686
2015-06;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Contrato / Oferta;1681
2016-04;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Atendimento / SAC;1636
2015-08;Bancos, Financeiras e Administradoras de Cartão;Cobrança / Contestação;1632
2016-11;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Vício de Qualidade;1603
2015-09;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Contrato / Oferta;1593
2016-05;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Vício de Qualidade;1592
2016-03;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Vício de Qualidade;1576
2016-06;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Vício de Qualidade;1572
2015-07;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Vício de Qualidade;1565
2015-03;Bancos, Financeiras e Administradoras de Cartão;Cobrança / Contestação;1535
2015-08;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Contrato / Oferta;1522
2018-05;Bancos, Financeiras e Administradoras de Cartão;Atendimento / SAC;1522
2016-07;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Vício de Qualidade;1517
2016-10;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Vício de Qualidade;1510
2016-02;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Atendimento / SAC;1506
2016-09;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Vício de Qualidade;1502
2015-12;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Vício de Qualidade;1501
2018-01;Comércio Eletrônico;Contrato / Oferta;1496
2017-12;Comércio Eletrônico;Entrega do Produto;1481
2015-05;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Vício de Qualidade;1458
2018-06;Comércio Eletrônico;Entrega do Produto;1451
2015-10;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Atendimento / SAC;1449
2015-05;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Atendimento / SAC;1440
2015-11;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Atendimento / SAC;1414
2016-01;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Atendimento / SAC;1412
2016-04;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Vício de Qualidade;1408
2016-02;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Vício de Qualidade;1406
2015-07;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Atendimento / SAC;1402
2016-01;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Vício de Qualidade;1377
2017-06;Bancos, Financeiras e Administradoras de Cartão;Atendimento / SAC;1376
2015-06;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Atendimento / SAC;1343
2017-10;Bancos, Financeiras e Administradoras de Cartão;Contrato / Oferta;1342
2017-10;Bancos, Financeiras e Administradoras de Cartão;Atendimento / SAC;1325
2018-03;Bancos, Financeiras e Administradoras de Cartão;Atendimento / SAC;1322
2015-08;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Atendimento / SAC;1321
2015-11;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Vício de Qualidade;1312
2016-07;Bancos de Dados e Cadastros de Consumidores;Informação;1301
2018-04;Comércio Eletrônico;Cobrança / Contestação;1297
2015-08;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Vício de Qualidade;1296
2018-04;Bancos, Financeiras e Administradoras de Cartão;Atendimento / SAC;1286
2015-04;Bancos, Financeiras e Administradoras de Cartão;Cobrança / Contestação;1283
2017-12;Comércio Eletrônico;Contrato / Oferta;1275
2015-10;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Vício de Qualidade;1272
2015-06;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Vício de Qualidade;1258
2018-01;Bancos, Financeiras e Administradoras de Cartão;Atendimento / SAC;1255
2017-04;Comércio Eletrônico;Entrega do Produto;1242
2017-09;Bancos, Financeiras e Administradoras de Cartão;Contrato / Oferta;1238
2017-03;Comércio Eletrônico;Entrega do Produto;1229
2016-06;Bancos, Financeiras e Administradoras de Cartão;Contrato / Oferta;1229
2015-09;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Atendimento / SAC;1218
2017-11;Bancos, Financeiras e Administradoras de Cartão;Atendimento / SAC;1214
2018-03;Comércio Eletrônico;Cobrança / Contestação;1175
2017-05;Comércio Eletrônico;Entrega do Produto;1168
2017-06;Bancos, Financeiras e Administradoras de Cartão;Contrato / Oferta;1166
2018-02;Bancos, Financeiras e Administradoras de Cartão;Atendimento / SAC;1165
2017-09;Bancos, Financeiras e Administradoras de Cartão;Atendimento / SAC;1157
2017-12;Bancos, Financeiras e Administradoras de Cartão;Atendimento / SAC;1152
2015-09;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Vício de Qualidade;1150
2018-02;Comércio Eletrônico;Contrato / Oferta;1142
2017-06;Comércio Eletrônico;Entrega do Produto;1137
2017-02;Comércio Eletrônico;Entrega do Produto;1136
2018-05;Empresas de Intermediação de Serviços / Negócios;Entrega do Produto;1134
2017-08;Bancos, Financeiras e Administradoras de Cartão;Atendimento / SAC;1120
2017-07;Bancos, Financeiras e Administradoras de Cartão;Contrato / Oferta;1112
2018-06;Bancos, Financeiras e Administradoras de Cartão;Contrato / Oferta;1105
2016-07;Bancos, Financeiras e Administradoras de Cartão;Contrato / Oferta;1098
2018-06;Bancos, Financeiras e Administradoras de Cartão;Vício de Qualidade;1097
2017-08;Bancos, Financeiras e Administradoras de Cartão;Contrato / Oferta;1097
2018-04;Comércio Eletrônico;Contrato / Oferta;1095
2018-05;Bancos, Financeiras e Administradoras de Cartão;Contrato / Oferta;1094
2017-05;Bancos, Financeiras e Administradoras de Cartão;Atendimento / SAC;1085
2016-01;Comércio Eletrônico;Entrega do Produto;1083
2017-10;Bancos, Financeiras e Administradoras de Cartão;Vício de Qualidade;1082
2015-02;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Contrato / Oferta;1066
2018-05;Bancos, Financeiras e Administradoras de Cartão;Vício de Qualidade;1062
2017-11;Bancos, Financeiras e Administradoras de Cartão;Contrato / Oferta;1051
2018-01;Bancos, Financeiras e Administradoras de Cartão;Vício de Qualidade;1048
2016-08;Bancos, Financeiras e Administradoras de Cartão;Contrato / Oferta;1045
2016-04;Comércio Eletrônico;Contrato / Oferta;1043
2018-01;Bancos, Financeiras e Administradoras de Cartão;Contrato / Oferta;1043
2017-07;Bancos, Financeiras e Administradoras de Cartão;Atendimento / SAC;1039
2017-11;Comércio Eletrônico;Entrega do Produto;1038
2018-03;Comércio Eletrônico;Contrato / Oferta;1036
2018-04;Bancos, Financeiras e Administradoras de Cartão;Contrato / Oferta;1036
2016-06;Comércio Eletrônico;Entrega do Produto;1033
2016-07;Comércio Eletrônico;Entrega do Produto;1024
2017-09;Bancos, Financeiras e Administradoras de Cartão;Vício de Qualidade;1023
2018-01;Comércio Eletrônico;Cobrança / Contestação;1021
2015-02;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Atendimento / SAC;1015
2016-05;Bancos, Financeiras e Administradoras de Cartão;Contrato / Oferta;1015
2016-06;Comércio Eletrônico;Contrato / Oferta;1014
2018-04;Bancos, Financeiras e Administradoras de Cartão;Vício de Qualidade;1006
2018-03;Bancos, Financeiras e Administradoras de Cartão;Contrato / Oferta;1003
2015-03;Comércio Eletrônico;Entrega do Produto;994
2015-02;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Vício de Qualidade;987
2018-02;Comércio Eletrônico;Cobrança / Contestação;986
2017-03;Fabricantes - Eletroeletrônicos, Produtos de Telefonia e Informática;Vício de Qualidade;981
2017-03;Bancos, Financeiras e Administradoras de Cartão;Atendimento / SAC;979
2017-11;Comércio Eletrônico;Contrato / Oferta;978
2018-02;Bancos, Financeiras e Administradoras de Cartão;Contrato / Oferta;961
2016-12;Bancos, Financeiras e Administradoras de Cartão;Vício de Qualidade;949
2016-06;Bancos, Financeiras e Administradoras de Cartão;Atendimento / SAC;949
2016-08;Comércio Eletrônico;Entrega do Produto;944
2015-12;Comércio Eletrônico;Entrega do Produto;940
2016-05;Comércio Eletrônico;Contrato / Oferta;939
2016-03;Comércio Eletrônico;Contrato / Oferta;938
2016-12;Comércio Eletrônico;Entrega do Produto;937
2017-06;Bancos, Financeiras e Administradoras de Cartão;Vício de Qualidade;935
2017-12;Bancos, Financeiras e Administradoras de Cartão;Vício de Qualidade;932
2018-05;Fabricantes - Eletroeletrônicos, Produtos de Telefonia e Informática;Vício de Qualidade;930
2017-11;Bancos, Financeiras e Administradoras de Cartão;Vício de Qualidade;928
2017-10;Comércio Eletrônico;Entrega do Produto;927
2015-01;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Contrato / Oferta;926
2018-03;Bancos, Financeiras e Administradoras de Cartão;Vício de Qualidade;926
2017-12;Bancos, Financeiras e Administradoras de Cartão;Contrato / Oferta;924
2017-07;Comércio Eletrônico;Entrega do Produto;920
2017-08;Bancos, Financeiras e Administradoras de Cartão;Vício de Qualidade;917
2017-05;Fabricantes - Eletroeletrônicos, Produtos de Telefonia e Informática;Vício de Qualidade;913
2017-10;Comércio Eletrônico;Contrato / Oferta;909
2018-02;Bancos, Financeiras e Administradoras de Cartão;Vício de Qualidade;903
2017-05;Bancos, Financeiras e Administradoras de Cartão;Contrato / Oferta;898
2017-08;Comércio Eletrônico;Entrega do Produto;897
2017-09;Comércio Eletrônico;Entrega do Produto;895
